FIPS Code,2020-10
01001,391.0
01003,937.0
01005,155.0
01007,203.0
01009,510.0
01011,0.0
01013,0.0
01015,1258.0
01017,205.0
01019,167.0
01021,326.0
01023,0.0
01025,275.0
01027,0.0
01029,0.0
01031,480.0
01033,594.0
01035,0.0
01037,0.0
01039,447.0
01041,0.0
01043,909.0
01045,457.0
01047,124.0
01049,1133.0
01051,503.0
01053,144.0
01055,938.0
01057,0.0
01059,354.0
01061,304.0
01063,0.0
01065,0.0
01067,0.0
01069,1304.0
01071,678.0
01073,4103.0
01075,0.0
01077,931.0
01079,310.0
01081,658.0
01083,896.0
01085,0.0
01087,0.0
01089,1593.0
01091,0.0
01093,178.0
01095,590.0
01097,3732.0
01099,67.0
01101,1766.0
01103,1170.0
01105,0.0
01107,0.0
01109,171.0
01111,192.0
01113,204.0
01115,829.0
01117,1488.0
01119,0.0
01121,594.0
01123,203.0
01125,1717.0
01127,571.0
01129,0.0
01131,0.0
01133,227.0
02013,0.0
02016,0.0
02020,4583.0
02050,0.0
02060,0.0
02068,0.0
02070,0.0
02090,1127.0
02100,0.0
02105,0.0
02110,272.0
02122,588.0
02130,0.0
02150,0.0
02158,0.0
02164,0.0
02170,1228.0
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,0.0
02261,0.0
02275,0.0
02282,0.0
02290,0.0
04001,478.0
04003,434.0
04005,1310.0
04007,662.0
04009,421.0
04011,0.0
04012,0.0
04013,19946.0
04015,619.0
04017,831.0
04019,3816.0
04021,2202.0
04023,254.0
04025,582.0
04027,1522.0
05001,0.0
05003,0.0
05005,339.0
05007,1362.0
05009,276.0
05011,0.0
05013,0.0
05015,258.0
05017,0.0
05019,101.0
05021,0.0
05023,97.0
05025,0.0
05027,133.0
05029,69.0
05031,1605.0
05033,554.0
05035,517.0
05037,0.0
05039,0.0
05041,0.0
05043,0.0
05045,674.0
05047,0.0
05049,0.0
05051,578.0
05053,0.0
05055,625.0
05057,172.0
05059,318.0
05061,0.0
05063,185.0
05065,0.0
05067,0.0
05069,676.0
05071,138.0
05073,0.0
05075,0.0
05077,0.0
05079,0.0
05081,0.0
05083,145.0
05085,398.0
05087,0.0
05089,0.0
05091,503.0
05093,607.0
05095,0.0
05097,0.0
05099,0.0
05101,0.0
05103,120.0
05105,0.0
05107,0.0
05109,0.0
05111,445.0
05113,0.0
05115,465.0
05117,0.0
05119,2384.0
05121,0.0
05123,224.0
05125,642.0
05127,0.0
05129,0.0
05131,940.0
05133,0.0
05135,0.0
05137,0.0
