FIPS Code,Lat,Lng
01001,32.5625,-86.5478
01003,30.554945000000004,-87.72395999999999
01005,31.787049999999997,-85.42985
01007,33.059925,-87.145725
01009,33.957084615384616,-86.57680769230768
01011,32.10795,-85.61925
01013,31.6752,-86.7031
01015,33.737346153846154,-85.8022
01017,32.92009090909091,-85.34512727272725
01019,34.199757142857145,-85.63577142857142
01021,32.879324999999994,-86.738875
01023,31.9661875,-88.2678875
01025,31.6371125,-87.82834999999999
01027,33.26886,-85.86368
01029,33.65338,-85.4872
01031,31.3358,-86.003775
01033,34.71131666666667,-87.70045
01035,31.381333333333334,-87.07953333333334
01037,32.9689,-86.14800000000001
01039,31.26374285714285,-86.41451428571428
01041,31.674149999999997,-86.26261666666666
01043,34.155478571428574,-86.77339285714285
01045,31.34759090909091,-85.61826363636362
01047,32.397,-87.07922500000001
01049,34.489459999999994,-85.79531333333333
01051,32.53643636363637,-86.20943636363637
01053,31.064899999999994,-87.18403333333333
01055,34.04874090909091,-86.07322272727272
01057,33.7251,-87.77499999999999
01059,34.410357142857144,-87.87934285714286
01061,31.0904875,-85.77805000000001
01063,32.81405,-87.924825
01065,32.792175,-87.62455000000001
01067,31.43675,-85.26997499999999
01069,31.181191666666667,-85.30539166666667
01071,34.71435384615385,-86.03392307692307
01073,33.570374418604665,-86.8535069767442
01075,33.792049999999996,-88.08306666666665
01077,34.8827125,-87.5631
01079,34.61783333333333,-87.3202
01081,32.6008,-85.3894
01083,34.8626,-86.95924
01085,32.19728571428572,-86.66812857142857
01087,32.46385,-85.77775
01089,34.742025000000005,-86.57298333333334
01091,32.27035,-87.80976
01093,34.06916249999999,-87.83873750000001
01095,34.32167142857143,-86.30662857142856
01097,30.77371,-88.13880500000002
01099,31.5254875,-87.3493375
01101,32.32035,-86.1784
01103,34.47318571428571,-86.90877142857143
01105,32.5404,-87.4065
01107,33.269133333333336,-88.15354444444444
01109,31.762925,-85.93620000000001
01111,33.28341428571429,-85.4173
01113,32.3866,-85.17583333333333
01115,33.71445555555555,-86.32682222222222
01117,33.305722727272716,-86.6553
01119,32.67211111111111,-88.2427
01121,33.30440909090909,-86.23783636363635
01123,32.907399999999996,-85.80913
01125,33.224355555555555,-87.42003333333334
01127,33.824236363636366,-87.32146363636365
01129,31.353630769230772,-88.17018461538464
01131,31.96875,-87.28845
01133,34.13646666666667,-87.42491666666666
02013,55.0778,-162.7033
02016,53.9542,-121.84672857142856
02020,61.1508,-149.1091
02050,60.73986176470588,-161.5852235294118
02060,58.73383333333334,-156.79786666666666
02068,63.854459999999996,-148.92367999999996
02070,59.165089999999985,-158.50737
02090,64.79607058823528,-147.44475294117646
02100,59.183233333333334,-135.67638333333335
02105,58.19045714285715,-135.61232857142858
02110,58.4546,-134.1739
02122,60.186894444444434,-150.8810388888889
02130,55.3394,-131.6294
02150,57.63779000000001,-153.17003
02158,62.13122307692308,-163.9576153846154
02164,58.270393750000004,-156.64265625
02170,61.72250434782609,-149.43666521739132
02180,64.6619588235294,-165.08838823529413
02185,69.91997777777777,-155.40905555555557
02188,66.968775,-160.850625
02195,56.78275,-132.9308
02198,55.80350000000001,-132.83414999999997
02220,57.2401,-135.3153
02230,59.4566,-135.2927
02240,63.78626875,-143.60261874999998
02261,61.700705555555565,-145.76382222222225
02275,56.3317,-132.0223
02282,59.567,-139.5966
02290,65.23285945945948,-152.03319729729728
04001,35.616526470588234,-109.41176176470589
04003,31.72120476190476,-109.95652857142858
04005,35.781895652173915,-111.61359130434782
04007,33.85576888888888,-110.9896177777778
04009,32.87490909090909,-109.78727272727274
04011,32.88137999999999,-109.19684
04012,33.85650000000001,-114.0350705882353
04013,33.49856666666667,-112.25950476190476
04015,35.476481395348834,-113.98955116279069
04017,34.995808510638305,-110.20601914893618
04019,32.104297916666674,-111.4790979166667
04021,32.98158157894737,-111.50462894736843
04023,31.53755,-110.86953000000001
04025,34.60248000000001,-112.323572
04027,32.67222777777778,-114.47368888888887
05001,34.35048333333334,-91.41938333333333
05003,33.19411111111111,-91.74433333333334
05005,36.2662,-92.40552222222222
05007,36.345231818181816,-94.24717272727274
05009,36.305527272727275,-93.0192909090909
05011,33.54473333333333,-92.16866666666665
05013,33.61279999999999,-92.42734999999999
05015,36.43262857142857,-93.58268571428572
05017,33.32533333333333,-91.32703333333335
05019,34.05634285714286,-93.18820000000001
