FIPS Code,Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
19025,0.16,Very Low Vulnerability,0.292,0.0195,0.0031,0.0036,0.0154,0.0,0.9424,0.016000000000000014
19027,0.05,Very Low Vulnerability,0.317,0.0249,0.0001,0.002,0.0009,0.0,0.9694,0.0026999999999999247
19029,0.2,Very Low Vulnerability,0.245,0.027,0.0024,0.0028,0.002,0.0014,0.9529,0.011500000000000066
19031,0.01,Very Low Vulnerability,0.275,0.0204,0.0021,0.0036,0.0141,0.0,0.9555,0.0042999999999999705
19033,0.25,Low Vulnerability,0.292,0.0487,0.003,0.0115,0.0173,0.0012,0.9059,0.012399999999999967
19035,0.17,Very Low Vulnerability,0.285,0.016,0.0034,0.0079,0.0201,0.0,0.9339,0.01870000000000005
19037,0.06,Very Low Vulnerability,0.243,0.0253,0.0017,0.0012,0.0099,0.0004,0.9576,0.0039000000000000146
19039,0.48,Moderate Vulnerability,0.242,0.1428,0.0033,0.0074,0.0006,0.0,0.8265,0.019399999999999973
19041,0.34,Low Vulnerability,0.231,0.0369,0.0004,0.0065,0.0029,0.0001,0.9323,0.02090000000000003
19043,0.18,Very Low Vulnerability,0.25,0.0192,0.0019,0.0045,0.0096,0.0,0.9593,0.005499999999999949
19045,0.26,Low Vulnerability,0.208,0.0314,0.003,0.0069,0.0275,0.0,0.9114,0.01980000000000004
19047,0.86,Very High Vulnerability,0.286,0.2807,0.0028,0.0207,0.0272,0.0016,0.6582,0.008799999999999919
19049,0.06,Very Low Vulnerability,0.221,0.0612,0.0011,0.0451,0.019,0.0,0.8542,0.019400000000000084
19051,0.35,Low Vulnerability,0.202,0.0147,0.0,0.0064,0.0004,0.0,0.9682,0.010300000000000087
19053,0.68,High Vulnerability,0.177,0.03,0.003,0.0069,0.0177,0.0,0.9268,0.015600000000000058
19055,0.03,Very Low Vulnerability,0.227,0.0155,0.0032,0.003,0.0021,0.0,0.9657,0.010499999999999954
19057,0.47,Moderate Vulnerability,0.259,0.0321,0.0019,0.0077,0.0567,0.0,0.8733,0.028299999999999992
19059,0.09,Very Low Vulnerability,0.273,0.0201,0.0028,0.0089,0.0045,0.0,0.957,0.006700000000000039
19061,0.23,Low Vulnerability,0.295,0.0247,0.0016,0.0107,0.0351,0.0051,0.9075,0.015300000000000091
19063,0.39,Low Vulnerability,0.217,0.0975,0.0017,0.0025,0.0198,0.0,0.8707,0.007800000000000029
19065,0.23,Low Vulnerability,0.244,0.0244,0.0008,0.0025,0.0216,0.0,0.9365,0.01419999999999999
19067,0.36,Low Vulnerability,0.248,0.0324,0.0061,0.015,0.0172,0.0015,0.9153,0.012499999999999956
19069,0.2,Very Low Vulnerability,0.244,0.1275,0.0,0.0,0.0025,0.0,0.8676,0.0023999999999999577
19071,0.06,Very Low Vulnerability,0.253,0.0278,0.006,0.0,0.0076,0.0,0.947,0.011600000000000055
19073,0.2,Very Low Vulnerability,0.258,0.0291,0.0015,0.0074,0.0042,0.0,0.946,0.011800000000000033
19075,0.0,Very Low Vulnerability,0.265,0.0128,0.0011,0.0028,0.006,0.0,0.9693,0.008000000000000007
19077,0.12,Very Low Vulnerability,0.249,0.0272,0.0014,0.0024,0.0032,0.0,0.9503,0.015499999999999958
19079,0.12,Very Low Vulnerability,0.266,0.0603,0.0005,0.0303,0.0135,0.0021,0.8918,0.0014999999999999458
19081,0.07,Very Low Vulnerability,0.239,0.0441,0.0018,0.0031,0.0159,0.0,0.9317,0.0034000000000000696
19083,0.12,Very Low Vulnerability,0.239,0.0435,0.0141,0.0008,0.0123,0.0003,0.9185,0.010500000000000065
19085,0.06,Very Low Vulnerability,0.22,0.0174,0.0004,0.0049,0.0019,0.0004,0.962,0.013000000000000012
19087,0.31,Low Vulnerability,0.183,0.0488,0.0018,0.0259,0.0223,0.0005,0.8804,0.020299999999999985
19089,0.16,Very Low Vulnerability,0.216,0.016,0.0,0.0043,0.0031,0.0001,0.9651,0.011400000000000077
19091,0.14,Very Low Vulnerability,0.214,0.044,0.0029,0.0031,0.004,0.0,0.9343,0.011700000000000044
19093,0.09,Very Low Vulnerability,0.248,0.0245,0.0061,0.0023,0.0061,0.0,0.9535,0.007499999999999951
19095,0.03,Very Low Vulnerability,0.3,0.0287,0.0005,0.0049,0.0075,0.0,0.9498,0.008600000000000052
19097,0.13,Very Low Vulnerability,0.274,0.0147,0.0001,0.0041,0.0047,0.0092,0.9547,0.012499999999999956
19099,0.25,Low Vulnerability,0.229,0.0235,0.0021,0.0047,0.0199,0.0,0.9346,0.015199999999999991
19101,0.49,Moderate Vulnerability,0.154,0.0304,0.0002,0.0435,0.0712,0.0,0.8053,0.0494
19103,0.27,Low Vulnerability,0.302,0.0562,0.0019,0.0622,0.072,0.0007,0.7837,0.0233000000000001
19105,0.19,Very Low Vulnerability,0.234,0.0203,0.0009,0.0095,0.0212,0.0,0.9387,0.009400000000000075
19107,0.04,Very Low Vulnerability,0.219,0.0175,0.0022,0.0028,0.0045,0.0002,0.9637,0.009099999999999997
19109,0.1,Very Low Vulnerability,0.245,0.0268,0.0035,0.0056,0.0071,0.0,0.9477,0.009299999999999975
19111,0.5,Moderate Vulnerability,0.201,0.0361,0.0022,0.0062,0.0276,0.0,0.9081,0.01980000000000004
19113,0.18,Very Low Vulnerability,0.257,0.0325,0.002,0.0227,0.0539,0.0013,0.8581,0.02950000000000008
19115,0.46,Moderate Vulnerability,0.266,0.1578,0.0084,0.0337,0.0107,0.0,0.7814,0.008000000000000007
19117,0.28,Low Vulnerability,0.203,0.02,0.0002,0.0,0.0008,0.0,0.975,0.0040000000000000036
19119,0.04,Very Low Vulnerability,0.223,0.0265,0.0017,0.0025,0.0008,0.0029,0.9544,0.011199999999999988
19121,0.02,Very Low Vulnerability,0.225,0.0204,0.0007,0.0126,0.0024,0.0,0.9532,0.010699999999999932
19123,0.46,Moderate Vulnerability,0.188,0.0224,0.0026,0.0154,0.0133,0.0023,0.9319,0.0121
19125,0.19,Very Low Vulnerability,0.253,0.0193,0.002,0.0112,0.0105,0.0002,0.946,0.010800000000000032
19127,0.69,High Vulnerability,0.241,0.2195,0.0011,0.0367,0.0119,0.0004,0.709,0.021400000000000086
19129,0.11,Very Low Vulnerability,0.247,0.0319,0.0076,0.0047,0.0069,0.0,0.9407,0.008199999999999985
19131,0.09,Very Low Vulnerability,0.22,0.0148,0.0044,0.0046,0.003,0.0,0.9644,0.008799999999999919
19133,0.18,Very Low Vulnerability,0.222,0.02,0.0173,0.0,0.0031,0.0041,0.9463,0.009199999999999986
19135,0.25,Low Vulnerability,0.251,0.0099,0.0,0.001,0.0003,0.0,0.9626,0.0262
19137,0.53,Moderate Vulnerability,0.243,0.0381,0.0051,0.0017,0.0011,0.0,0.9373,0.016699999999999937
19139,0.39,Low Vulnerability,0.232,0.179,0.002,0.0087,0.0247,0.0003,0.7673,0.018000000000000016
19141,0.23,Low Vulnerability,0.276,0.0492,0.0014,0.0095,0.0113,0.0003,0.9245,0.0038000000000000256
19143,0.26,Low Vulnerability,0.227,0.081,0.0025,0.0013,0.0126,0.0005,0.8909,0.011199999999999988
19145,0.33,Low Vulnerability,0.263,0.0348,0.0038,0.01,0.0196,0.0,0.9104,0.021399999999999975
19147,0.17,Very Low Vulnerability,0.238,0.0281,0.0022,0.0033,0.0231,0.0,0.9335,0.009800000000000031
19149,0.13,Very Low Vulnerability,0.334,0.0523,0.0045,0.0065,0.0093,0.0,0.9171,0.010299999999999976
19151,0.15,Very Low Vulnerability,0.259,0.0383,0.0031,0.0134,0.0059,0.0066,0.9286,0.0040999999999999925
19153,0.38,Low Vulnerability,0.218,0.0837,0.0018,0.0454,0.0655,0.0008,0.7771,0.025700000000000056
19155,0.46,Moderate Vulnerability,0.235,0.0771,0.0033,0.0077,0.0169,0.0001,0.8776,0.017299999999999982
19157,0.15,Very Low Vulnerability,0.229,0.032,0.0001,0.0213,0.0193,0.0,0.9165,0.010800000000000032
19159,0.13,Very Low Vulnerability,0.293,0.0252,0.0036,0.0099,0.0008,0.0,0.9539,0.00660000000000005
19161,0.07,Very Low Vulnerability,0.29,0.0314,0.0,0.0044,0.0072,0.0,0.9488,0.008199999999999985
19163,0.27,Low Vulnerability,0.235,0.0672,0.0023,0.0271,0.0745,0.0002,0.7997,0.029000000000000026
19165,0.13,Very Low Vulnerability,0.282,0.0297,0.0026,0.0019,0.0076,0.0,0.9455,0.012699999999999934
19167,0.22,Low Vulnerability,0.227,0.1075,0.0007,0.0074,0.0035,0.0005,0.869,0.011399999999999966
19169,0.21,Low Vulnerability,0.182,0.0345,0.0021,0.0801,0.0222,0.0,0.8384,0.022699999999999942
19171,0.33,Low Vulnerability,0.311,0.0978,0.0723,0.0046,0.0092,0.0,0.8075,0.008599999999999941
19173,0.28,Low Vulnerability,0.282,0.077,0.0005,0.0102,0.0002,0.0,0.9038,0.008299999999999974
19175,0.45,Moderate Vulnerability,0.208,0.0299,0.0,0.0146,0.005,0.0006,0.94,0.00990000000000002
19177,0.25,Low Vulnerability,0.169,0.0158,0.0,0.0052,0.0043,0.0,0.9634,0.011299999999999977
19179,0.74,High Vulnerability,0.212,0.1078,0.0008,0.0123,0.0332,0.0067,0.8221,0.017099999999999893
19181,0.07,Very Low Vulnerability,0.228,0.0284,0.0008,0.0066,0.0047,0.0035,0.942,0.014000000000000012
19183,0.22,Low Vulnerability,0.248,0.0617,0.0024,0.006,0.0078,0.0002,0.9102,0.011699999999999933
19185,0.46,Moderate Vulnerability,0.211,0.0159,0.0037,0.0009,0.003,0.0,0.9608,0.015700000000000047
19187,0.46,Moderate Vulnerability,0.248,0.0503,0.0031,0.0137,0.0467,0.0001,0.8715,0.014599999999999946
19189,0.21,Low Vulnerability,0.209,0.0464,0.0031,0.0127,0.016,0.0,0.9147,0.007100000000000106
19191,0.01,Very Low Vulnerability,0.191,0.0225,0.0006,0.0065,0.0152,0.0,0.9501,0.0051000000000001044
19193,0.7,High Vulnerability,0.235,0.1662,0.0158,0.0281,0.0323,0.0027,0.7296,0.02529999999999999
19195,0.07,Very Low Vulnerability,0.211,0.0298,0.0,0.0034,0.0154,0.0001,0.9426,0.008700000000000041
19197,0.48,Moderate Vulnerability,0.284,0.121,0.0002,0.0053,0.0038,0.0,0.8541,0.015600000000000058
20001,0.4,Low Vulnerability,0.185,0.0355,0.0029,0.0075,0.01,0.0022,0.9008,0.041099999999999914
20003,0.23,Low Vulnerability,0.203,0.0189,0.0209,0.0001,0.005,0.0,0.9484,0.006699999999999928
20005,0.49,Moderate Vulnerability,0.158,0.0304,0.0028,0.0048,0.029,0.0,0.8812,0.05180000000000007
20007,0.28,Low Vulnerability,0.344,0.0549,0.0078,0.0162,0.008,0.0,0.8947,0.018399999999999972
20009,0.54,Moderate Vulnerability,0.21,0.1481,0.0071,0.0025,0.0105,0.0023,0.8155,0.014000000000000012
20011,0.58,Moderate Vulnerability,0.161,0.0267,0.0026,0.0076,0.0282,0.0,0.9008,0.03409999999999991
20013,0.27,Low Vulnerability,0.31,0.0463,0.0746,0.0062,0.0066,0.0003,0.8301,0.03590000000000004
20015,0.26,Low Vulnerability,0.153,0.0488,0.0072,0.0122,0.0235,0.0005,0.8882,0.019600000000000062
20017,0.41,Moderate Vulnerability,0.244,0.0474,0.0061,0.0,0.0167,0.0,0.912,0.017799999999999927
20019,0.72,High Vulnerability,0.285,0.0385,0.0394,0.003,0.0054,0.0,0.8601,0.05359999999999998
20021,0.38,Low Vulnerability,0.186,0.0256,0.0175,0.0045,0.0059,0.0037,0.8801,0.06269999999999998
20023,0.1,Very Low Vulnerability,0.304,0.0679,0.0,0.0,0.0,0.0,0.931,0.0010999999999999899
20025,0.31,Low Vulnerability,0.324,0.0553,0.0104,0.0114,0.0035,0.0,0.8973,0.02210000000000001
20027,0.05,Very Low Vulnerability,0.238,0.0254,0.0066,0.0059,0.0089,0.0,0.9397,0.013500000000000068
20029,0.27,Low Vulnerability,0.206,0.0317,0.0021,0.0009,0.0188,0.0,0.9302,0.01629999999999998
20031,0.2,Low Vulnerability,0.198,0.0269,0.0023,0.001,0.008,0.0,0.9329,0.028900000000000037
20033,0.08,Very Low Vulnerability,0.356,0.0379,0.0,0.0,0.0,0.0,0.9603,0.0017999999999999128
20035,0.73,High Vulnerability,0.198,0.1086,0.0134,0.0161,0.0288,0.0001,0.7964,0.036599999999999966
20037,0.7,High Vulnerability,0.177,0.0571,0.0036,0.0186,0.0213,0.0,0.8658,0.03359999999999996
20039,0.16,Very Low Vulnerability,0.247,0.0297,0.0045,0.0038,0.0052,0.0,0.9528,0.0040000000000000036
20041,0.33,Low Vulnerability,0.225,0.0468,0.0088,0.0053,0.0136,0.0,0.9083,0.017199999999999993
20043,0.23,Low Vulnerability,0.194,0.0279,0.0016,0.0007,0.0588,0.0,0.9029,0.008099999999999996
20045,0.22,Low Vulnerability,0.228,0.0628,0.0219,0.0522,0.0412,0.0001,0.784,0.037800000000000056
20047,0.37,Low Vulnerability,0.268,0.207,0.0,0.0077,0.0035,0.0,0.7616,0.020199999999999996
20049,0.39,Low Vulnerability,0.189,0.0456,0.017,0.0048,0.004,0.0,0.9005,0.028100000000000014
20051,0.16,Very Low Vulnerability,0.215,0.0573,0.0024,0.0113,0.0108,0.0033,0.8941,0.02080000000000004
20053,0.4,Low Vulnerability,0.202,0.0616,0.0077,0.0128,0.0319,0.0,0.8572,0.028800000000000048
20055,0.82,Very High Vulnerability,0.138,0.499,0.0034,0.0393,0.0274,0.0,0.4133,0.01760000000000006
20057,0.86,Very High Vulnerability,0.182,0.5505,0.0046,0.0137,0.0191,0.0004,0.3972,0.014499999999999957
20059,0.21,Low Vulnerability,0.185,0.0417,0.004,0.0038,0.008,0.0,0.9099,0.03259999999999996
20061,0.66,High Vulnerability,0.183,0.1618,0.0099,0.0296,0.1768,0.0103,0.566,0.045600000000000085
20063,0.1,Very Low Vulnerability,0.395,0.034,0.0034,0.0053,0.0011,0.0,0.9293,0.026900000000000035
20065,0.13,Very Low Vulnerability,0.371,0.0198,0.0,0.0175,0.0417,0.0,0.8853,0.035700000000000065
20067,0.38,Low Vulnerability,0.241,0.476,0.0,0.0043,0.0004,0.0,0.5165,0.0028000000000000247
20069,0.27,Low Vulnerability,0.242,0.1596,0.0018,0.0012,0.0,0.0036,0.8182,0.015599999999999947
20071,0.58,Moderate Vulnerability,0.408,0.2473,0.0059,0.0,0.0,0.0,0.7451,0.0017000000000000348
20073,0.21,Low Vulnerability,0.242,0.0388,0.001,0.0018,0.0021,0.0,0.9189,0.03739999999999999
20075,0.26,Low Vulnerability,0.233,0.3296,0.0,0.0,0.0185,0.0,0.6449,0.006999999999999895
20077,0.32,Low Vulnerability,0.232,0.0613,0.0132,0.0039,0.0013,0.002,0.9015,0.016800000000000037
20079,0.34,Low Vulnerability,0.204,0.1189,0.0019,0.0063,0.0151,0.0018,0.8277,0.028299999999999992
20081,0.41,Moderate Vulnerability,0.278,0.3061,0.0139,0.0012,0.0002,0.0,0.668,0.010599999999999943
20083,0.11,Very Low Vulnerability,0.319,0.0794,0.0011,0.0192,0.0005,0.0,0.8811,0.01870000000000005
20085,0.27,Low Vulnerability,0.303,0.0462,0.0753,0.0054,0.0021,0.0014,0.8388,0.03080000000000005
20087,0.05,Very Low Vulnerability,0.227,0.0274,0.0076,0.0002,0.0073,0.0,0.9358,0.021700000000000053
20089,0.09,Very Low Vulnerability,0.27,0.0239,0.0062,0.0017,0.0035,0.0014,0.9515,0.011800000000000033
20091,0.06,Very Low Vulnerability,0.255,0.0766,0.002,0.0505,0.0458,0.0003,0.7992,0.025599999999999956
20093,0.47,Moderate Vulnerability,0.29,0.3171,0.0,0.0038,0.0038,0.0,0.6685,0.006799999999999917
20095,0.05,Very Low Vulnerability,0.259,0.0358,0.0035,0.0003,0.0046,0.0,0.9313,0.024499999999999966
20097,0.26,Low Vulnerability,0.317,0.0639,0.0068,0.0076,0.0064,0.0,0.8866,0.028699999999999948
20099,0.64,High Vulnerability,0.231,0.0453,0.0075,0.0015,0.0472,0.0,0.8542,0.044300000000000006
20101,0.03,Very Low Vulnerability,0.307,0.0671,0.0077,0.0121,0.0,0.0026,0.9105,0.0
20103,0.24,Low Vulnerability,0.232,0.0701,0.0057,0.0145,0.0819,0.001,0.789,0.037799999999999945
20105,0.13,Very Low Vulnerability,0.267,0.0335,0.0,0.0,0.0016,0.0,0.9474,0.01749999999999996
20107,0.45,Moderate Vulnerability,0.155,0.027,0.0066,0.0052,0.0055,0.0,0.9355,0.020199999999999996
20109,0.13,Very Low Vulnerability,0.324,0.0613,0.0082,0.0,0.0007,0.0,0.9005,0.029299999999999993
20111,0.73,High Vulnerability,0.286,0.2123,0.0052,0.0207,0.0223,0.0,0.711,0.02849999999999997
20113,0.11,Very Low Vulnerability,0.242,0.0422,0.005,0.0068,0.0108,0.0,0.9158,0.019400000000000084
20115,0.18,Very Low Vulnerability,0.228,0.0374,0.0015,0.0028,0.0072,0.0,0.9255,0.025600000000000067
20117,0.13,Very Low Vulnerability,0.226,0.0252,0.0005,0.0039,0.0031,0.0026,0.9461,0.01859999999999995
20119,0.37,Low Vulnerability,0.23,0.2048,0.0022,0.0072,0.0062,0.0,0.7545,0.02510000000000001
20121,0.03,Very Low Vulnerability,0.216,0.0323,0.0081,0.0057,0.0149,0.0,0.927,0.01200000000000001
20123,0.28,Low Vulnerability,0.249,0.0244,0.0072,0.0028,0.0072,0.0,0.9492,0.009199999999999986
20125,0.8,Very High Vulnerability,0.176,0.0676,0.0324,0.0097,0.0494,0.0018,0.7943,0.04479999999999995
20127,0.24,Low Vulnerability,0.263,0.0501,0.0011,0.0043,0.002,0.0,0.9157,0.026800000000000046
20129,0.41,Moderate Vulnerability,0.184,0.2338,0.0,0.0062,0.008,0.0,0.7121,0.03990000000000005
20131,0.1,Very Low Vulnerability,0.274,0.021,0.006,0.0012,0.0072,0.0,0.9514,0.01319999999999999
20133,0.66,High Vulnerability,0.137,0.0557,0.0039,0.0007,0.0121,0.0,0.8978,0.029799999999999938
20135,0.15,Very Low Vulnerability,0.305,0.1022,0.0031,0.0035,0.0052,0.0,0.8734,0.012600000000000056
20137,0.3,Low Vulnerability,0.24,0.052,0.0057,0.005,0.0277,0.0,0.89,0.01959999999999995
20139,0.23,Low Vulnerability,0.22,0.0325,0.0015,0.0019,0.0059,0.0001,0.9324,0.025699999999999945
20141,0.07,Very Low Vulnerability,0.275,0.0215,0.004,0.0008,0.0048,0.0,0.9445,0.024399999999999977
20143,0.03,Very Low Vulnerability,0.211,0.0271,0.0057,0.0062,0.0098,0.0,0.9409,0.010300000000000087
20145,0.29,Low Vulnerability,0.235,0.0771,0.0086,0.0006,0.044,0.0,0.8413,0.02839999999999998
20147,0.24,Low Vulnerability,0.22,0.0337,0.0037,0.0054,0.0062,0.0009,0.9365,0.013600000000000056
20149,0.15,Very Low Vulnerability,0.168,0.0518,0.0085,0.0078,0.013,0.0,0.8988,0.020100000000000007
20151,0.39,Low Vulnerability,0.254,0.0715,0.003,0.0011,0.0253,0.0,0.8834,0.015700000000000047
20153,0.14,Very Low Vulnerability,0.269,0.0719,0.0072,0.0012,0.0064,0.0,0.8981,0.015199999999999991
20155,0.59,Moderate Vulnerability,0.206,0.0948,0.0076,0.0056,0.0271,0.0001,0.8405,0.02429999999999999
20157,0.06,Very Low Vulnerability,0.29,0.0204,0.0024,0.0024,0.0114,0.0,0.9541,0.009300000000000086
20159,0.43,Moderate Vulnerability,0.143,0.1139,0.0069,0.0077,0.0169,0.0014,0.8313,0.02189999999999992
20161,0.44,Moderate Vulnerability,0.154,0.0833,0.0034,0.0491,0.0609,0.0019,0.7652,0.03620000000000001
20163,0.14,Very Low Vulnerability,0.27,0.0251,0.0016,0.0008,0.0174,0.0022,0.9412,0.011699999999999933
20165,0.08,Very Low Vulnerability,0.274,0.0324,0.0,0.0056,0.002,0.0,0.9242,0.03579999999999994
20167,0.24,Low Vulnerability,0.212,0.0341,0.0089,0.0,0.023,0.0033,0.9231,0.00759999999999994
20169,0.42,Moderate Vulnerability,0.175,0.1128,0.0046,0.0225,0.0278,0.0003,0.8017,0.030299999999999994
20171,0.31,Low Vulnerability,0.262,0.1558,0.0008,0.0124,0.0,0.0006,0.8143,0.016100000000000003
20173,0.54,Moderate Vulnerability,0.128,0.1457,0.0062,0.0428,0.0858,0.0004,0.6807,0.03839999999999999
20175,0.91,Very High Vulnerability,0.192,0.6123,0.0055,0.0265,0.0451,0.0,0.3009,0.009700000000000042
20177,0.51,Moderate Vulnerability,0.251,0.1235,0.008,0.0148,0.0831,0.0002,0.7394,0.031000000000000028
20179,0.07,Very Low Vulnerability,0.297,0.0511,0.0032,0.0,0.01,0.0,0.9298,0.005900000000000016
20181,0.5,Moderate Vulnerability,0.23,0.1216,0.0083,0.0093,0.0071,0.0,0.8361,0.01760000000000006
20183,0.05,Very Low Vulnerability,0.262,0.0223,0.0052,0.0074,0.0033,0.0,0.9468,0.015000000000000013
20185,0.28,Low Vulnerability,0.286,0.1335,0.0112,0.001,0.0029,0.0,0.8338,0.01760000000000006
20187,0.5,Moderate Vulnerability,0.32,0.4059,0.0015,0.0,0.0,0.0,0.5765,0.016100000000000003
20189,0.67,High Vulnerability,0.162,0.3641,0.0039,0.0032,0.0077,0.0,0.6056,0.01550000000000007
20191,0.22,Low Vulnerability,0.176,0.0542,0.0129,0.0063,0.0096,0.0,0.8957,0.021299999999999986
20193,0.07,Very Low Vulnerability,0.236,0.0653,0.0,0.0092,0.0214,0.0,0.9004,0.0037000000000000366
20195,0.04,Very Low Vulnerability,0.271,0.0215,0.0007,0.0169,0.0011,0.0,0.9507,0.009099999999999997
20197,0.05,Very Low Vulnerability,0.207,0.0385,0.0032,0.0128,0.0054,0.0004,0.9216,0.018100000000000005
20199,0.14,Very Low Vulnerability,0.251,0.047,0.0,0.0038,0.0019,0.0,0.9155,0.03180000000000005
20201,0.15,Very Low Vulnerability,0.245,0.0359,0.0005,0.0015,0.0011,0.0,0.9574,0.0035999999999999366
20203,0.47,Moderate Vulnerability,0.38,0.3521,0.0009,0.0066,0.0094,0.0,0.6174,0.013600000000000056
20205,0.64,High Vulnerability,0.186,0.0321,0.0049,0.0001,0.0046,0.0003,0.9202,0.037799999999999945
20207,0.44,Moderate Vulnerability,0.182,0.0038,0.0108,0.0,0.0044,0.0,0.9268,0.054200000000000026
20209,0.92,Very High Vulnerability,0.146,0.2889,0.0031,0.0455,0.2171,0.0021,0.4088,0.034499999999999975
21001,0.71,High Vulnerability,0.126,0.0196,0.0023,0.0051,0.031,0.0,0.9328,0.009200000000000097
21003,0.68,High Vulnerability,0.188,0.0216,0.0,0.0062,0.0099,0.0,0.9502,0.0121
21005,0.26,Low Vulnerability,0.199,0.018,0.0,0.0027,0.028,0.0004,0.9379,0.013000000000000012
21007,0.45,Moderate Vulnerability,0.128,0.0136,0.0024,0.0022,0.0408,0.0,0.9248,0.016199999999999992
21009,0.78,High Vulnerability,0.192,0.0322,0.0012,0.0034,0.0347,0.0,0.9039,0.024599999999999955
21011,0.73,High Vulnerability,0.207,0.0167,0.0011,0.0047,0.0152,0.0,0.9506,0.011700000000000044
21013,0.89,Very High Vulnerability,0.189,0.0106,0.0022,0.0017,0.0276,0.0,0.9424,0.015499999999999958
21015,0.13,Very Low Vulnerability,0.191,0.0424,0.001,0.024,0.0289,0.0,0.8774,0.02629999999999999
21017,0.56,Moderate Vulnerability,0.219,0.068,0.0,0.0081,0.0692,0.0,0.8512,0.0035000000000000586
21019,0.69,High Vulnerability,0.193,0.0182,0.0006,0.003,0.0229,0.0003,0.931,0.02399999999999991
21021,0.43,Moderate Vulnerability,0.202,0.0332,0.003,0.0084,0.0792,0.0,0.854,0.022199999999999998
21023,0.39,Low Vulnerability,0.233,0.0082,0.0029,0.011,0.0036,0.0,0.9607,0.013600000000000056
21025,0.82,Very High Vulnerability,0.189,0.0095,0.0023,0.0033,0.0132,0.0,0.9656,0.006099999999999994
21027,0.74,High Vulnerability,0.151,0.0156,0.0026,0.0035,0.0177,0.0,0.9431,0.01749999999999996
21029,0.14,Very Low Vulnerability,0.149,0.0201,0.0025,0.0069,0.01,0.0002,0.9441,0.016199999999999992
21031,0.79,High Vulnerability,0.208,0.0328,0.0016,0.0031,0.0055,0.0004,0.9471,0.009499999999999953
21033,0.5,Moderate Vulnerability,0.2,0.025,0.0,0.0,0.0627,0.0,0.9088,0.0034999999999999476
21035,0.5,Moderate Vulnerability,0.127,0.0272,0.0031,0.011,0.0349,0.0023,0.8965,0.025000000000000022
21037,0.22,Low Vulnerability,0.221,0.0205,0.0008,0.0097,0.032,0.0001,0.923,0.013899999999999912
21039,0.34,Low Vulnerability,0.155,0.0234,0.0065,0.0079,0.0079,0.0,0.9369,0.017400000000000082
21041,0.89,Very High Vulnerability,0.233,0.0678,0.0032,0.0033,0.028,0.0,0.8865,0.011200000000000099
21043,0.82,Very High Vulnerability,0.194,0.0136,0.0046,0.0011,0.0054,0.0001,0.9665,0.00869999999999993
21045,0.77,High Vulnerability,0.095,0.0293,0.0032,0.0015,0.0079,0.0,0.9464,0.011699999999999933
21047,0.91,Very High Vulnerability,0.116,0.0787,0.0054,0.0159,0.2155,0.0036,0.6555,0.02540000000000009
21049,0.61,High Vulnerability,0.198,0.0291,0.0015,0.0061,0.0458,0.0,0.9015,0.016000000000000014
21051,0.91,Very High Vulnerability,0.146,0.0256,0.0012,0.0,0.0358,0.0004,0.9258,0.011200000000000099
21053,0.78,High Vulnerability,0.141,0.0284,0.0,0.0029,0.0036,0.0,0.9503,0.014799999999999924
21055,0.48,Moderate Vulnerability,0.169,0.0123,0.0022,0.0,0.0079,0.0,0.9606,0.017000000000000015
21057,0.53,Moderate Vulnerability,0.175,0.0136,0.0,0.0076,0.0209,0.0,0.9241,0.03379999999999994
21059,0.62,High Vulnerability,0.244,0.0313,0.0017,0.0173,0.043,0.0001,0.8802,0.02639999999999998
21061,0.64,High Vulnerability,0.177,0.0075,0.004,0.0008,0.0149,0.0,0.9509,0.02190000000000003
21063,0.72,High Vulnerability,0.115,0.0048,0.0008,0.0,0.0357,0.0,0.9563,0.0023999999999999577
21065,0.8,High Vulnerability,0.186,0.0011,0.0015,0.0001,0.0011,0.0002,0.9902,0.005800000000000027
21067,0.49,Moderate Vulnerability,0.3,0.0719,0.001,0.0374,0.1445,0.0002,0.71,0.03500000000000003
21069,0.77,High Vulnerability,0.209,0.0108,0.0006,0.0009,0.0219,0.0,0.9579,0.007900000000000018
21071,0.85,Very High Vulnerability,0.281,0.0084,0.0001,0.0033,0.0086,0.0,0.9703,0.009299999999999975
21073,0.55,Moderate Vulnerability,0.241,0.0337,0.0008,0.018,0.0931,0.0007,0.8157,0.038000000000000034
21075,0.87,Very High Vulnerability,0.169,0.0196,0.0069,0.0015,0.2401,0.0,0.7082,0.023699999999999943
21077,0.61,High Vulnerability,0.177,0.0526,0.0,0.0007,0.0201,0.0,0.9105,0.016100000000000003
21079,0.43,Moderate Vulnerability,0.174,0.0222,0.0015,0.0026,0.0194,0.0,0.9419,0.012400000000000078
21081,0.56,Moderate Vulnerability,0.159,0.0278,0.0013,0.0012,0.008,0.0,0.9443,0.01739999999999997
21083,0.78,High Vulnerability,0.143,0.0669,0.0014,0.0045,0.0408,0.003,0.8653,0.018100000000000005
21085,0.61,High Vulnerability,0.19,0.0138,0.0043,0.0006,0.0115,0.0,0.9522,0.01759999999999995
21087,0.52,Moderate Vulnerability,0.14,0.0086,0.007,0.0008,0.026,0.0,0.943,0.014600000000000057
