FIPS Code,Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
1105,0.99,Very High Vulnerability,0.202,0.0118,0.0003,0.0009,0.6931,0.0,0.2934,0.0004999999999999449
1107,0.92,Very High Vulnerability,0.149,0.0487,0.0014,0.0006,0.3984,0.0006,0.5365,0.013800000000000034
1109,0.9,Very High Vulnerability,0.143,0.0225,0.0056,0.022,0.3658,0.0001,0.5602,0.023800000000000043
1111,0.72,High Vulnerability,0.148,0.0295,0.0017,0.0021,0.1967,0.0,0.7529,0.017100000000000004
1113,0.91,Very High Vulnerability,0.104,0.0549,0.0026,0.0087,0.4341,0.0004,0.4607,0.03860000000000008
1115,0.37,Low Vulnerability,0.102,0.0242,0.0035,0.008,0.0957,0.0001,0.8587,0.009800000000000031
1117,0.12,Very Low Vulnerability,0.092,0.0572,0.0026,0.0206,0.1202,0.0002,0.7787,0.020500000000000074
1119,0.96,Very High Vulnerability,0.17,0.0053,0.0007,0.0214,0.7192,0.0,0.2481,0.005300000000000082
1121,0.87,Very High Vulnerability,0.133,0.0229,0.0043,0.0061,0.3237,0.0003,0.6263,0.01639999999999997
1123,0.89,Very High Vulnerability,0.161,0.0242,0.0022,0.0036,0.2697,0.0,0.6887,0.011600000000000055
1125,0.63,High Vulnerability,0.149,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.010299999999999976
1127,0.75,High Vulnerability,0.158,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.01750000000000007
1129,0.73,High Vulnerability,0.192,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.024900000000000033
1131,0.93,Very High Vulnerability,0.228,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.031300000000000106
1133,0.7,High Vulnerability,0.085,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.01869999999999994
2013,0.58,Moderate Vulnerability,0.195,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.08000000000000007
2016,0.49,Moderate Vulnerability,0.156,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.06000000000000005
2020,0.46,Moderate Vulnerability,0.3,0.0917,0.0737,0.0943,0.0528,0.0241,0.579,0.08440000000000003
2050,0.97,Very High Vulnerability,0.503,0.026,0.825,0.0108,0.0074,0.0022,0.0973,0.031300000000000106
2060,0.35,Low Vulnerability,0.463,0.0366,0.3417,0.0023,0.0057,0.0023,0.5086,0.10279999999999989
2068,0.1,Very Low Vulnerability,0.184,0.0031,0.0218,0.0258,0.0116,0.0,0.8424,0.09529999999999994
2070,0.87,Very High Vulnerability,0.381,0.0371,0.7091,0.0135,0.0159,0.0006,0.154,0.06979999999999997
2090,0.34,Low Vulnerability,0.203,0.0805,0.0727,0.0309,0.0428,0.0051,0.6993,0.06869999999999998
2100,0.21,Low Vulnerability,0.521,0.0449,0.087,0.0131,0.0,0.0016,0.7752,0.07820000000000005
2105,0.42,Moderate Vulnerability,0.493,0.0683,0.3595,0.0159,0.0304,0.0,0.4381,0.0878000000000001
2110,0.3,Low Vulnerability,0.297,0.0678,0.1026,0.0645,0.0098,0.0099,0.6468,0.09860000000000002
2122,0.41,Moderate Vulnerability,0.25,0.0415,0.0772,0.0157,0.0054,0.0033,0.7992,0.057699999999999974
2130,0.55,Moderate Vulnerability,0.308,0.0527,0.1343,0.0798,0.0075,0.002,0.6396,0.08410000000000006
2150,0.7,High Vulnerability,0.369,0.0891,0.1197,0.2269,0.0021,0.0033,0.4903,0.0686
2158,0.93,Very High Vulnerability,,0.0113,0.919,0.0013,0.001,0.0006,0.0358,0.030999999999999917
2164,0.8,High Vulnerability,0.43,0.0014,0.6978,0.0165,0.0115,0.0036,0.2096,0.0596000000000001
2170,0.32,Low Vulnerability,0.183,0.0493,0.0604,0.0137,0.0115,0.0022,0.7922,0.07069999999999999
2180,0.93,Very High Vulnerability,0.622,0.0274,0.7435,0.0153,0.0083,0.0014,0.1466,0.05750000000000011
2185,0.73,High Vulnerability,0.262,0.0203,0.5083,0.0538,0.0144,0.0186,0.3091,0.07550000000000012
2188,0.94,Very High Vulnerability,0.447,0.0145,0.8207,0.01,0.0108,0.001,0.1077,0.0353
2195,0.67,High Vulnerability,0.58,0.117,0.0731,0.0457,0.0101,0.0058,0.6549,0.09339999999999993
2198,0.77,High Vulnerability,0.349,0.0386,0.3849,0.0142,0.0045,0.0062,0.4526,0.09899999999999998
