Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.54,Moderate Concern,0.26,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.14800000000000002,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.204,,,,,,,,,,,,,,,,,,
0.48,Moderate Concern,0.222,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.136,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.222,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.23,,,,,,,,,,,,,,,,,,
0.68,High Concern,0.268,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.237,,,,,,,,,,,,,,,,,,
0.51,Moderate Concern,0.158,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.236,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.017,,,,,,,,,,,,,,,,,,
0.44,Moderate Concern,0.145,,,,,,,,,,,,,,,,,,
0.7,High Concern,0.16899999999999998,,,,,,,,,,,,,,,,,,
0.66,High Concern,0.077,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.115,,,,,,,,,,,,,,,,,,
0.62,High Concern,0.101,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.076,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.016,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.14,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.28600000000000003,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.079,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.2,,,,,,,,,,,,,,,,,,
0.64,High Concern,0.095,,,,,,,,,,,,,,,,,,
0.41,Moderate Concern,0.11,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.126,,,,,,,,,,,,,,,,,,
0.41,Moderate Concern,0.13699999999999998,,,,,,,,,,,,,,,,,,
0.25,Low Concern,0.068,,,,,,,,,,,,,,,,,,
0.23,Low Concern,0.095,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.193,,,,,,,,,,,,,,,,,,
0.68,High Concern,0.17800000000000002,,,,,,,,,,,,,,,,,,
0.61,High Concern,0.084,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.18,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.134,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.035,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.053,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.125,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.187,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.159,,,,,,,,,,,,,,,,,,
0.79,High Concern,0.146,,,,,,,,,,,,,,,,,,
0.41,Moderate Concern,0.066,,,,,,,,,,,,,,,,,,
0.47,Moderate Concern,0.195,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.01,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.209,,,,,,,,,,,,,,,,,,
0.31,Low Concern,0.029,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.245,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.043,,,,,,,,,,,,,,,,,,
0.5,Moderate Concern,0.168,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.179,,,,,,,,,,,,,,,,,,
0.04,Very Low Concern,0.071,,,,,,,,,,,,,,,,,,
0.77,High Concern,0.13,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.189,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.132,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.016,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.076,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.018000000000000002,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.206,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.112,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.033,,,,,,,,,,,,,,,,,,
0.6,High Concern,0.154,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.218,,,,,,,,,,,,,,,,,,
0.48,Moderate Concern,0.048,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.006,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.15,,,,,,,,,,,,,,,,,,
0.64,High Concern,0.299,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.227,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.319,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.226,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.406,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.233,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.239,,,,,,,,,,,,,,,,,,
0.17,Very Low Concern,0.223,,,,,,,,,,,,,,,,,,
0.02,Very Low Concern,0.204,,,,,,,,,,,,,,,,,,
0.21,Low Concern,0.256,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.174,,,,,,,,,,,,,,,,,,
0.12,Very Low Concern,0.258,,,,,,,,,,,,,,,,,,
0.4,Low Concern,0.264,,,,,,,,,,,,,,,,,,
0.17,Very Low Concern,0.276,,,,,,,,,,,,,,,,,,
0.2,Low Concern,0.189,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.3,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.142,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.183,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.273,,,,,,,,,,,,,,,,,,
0.15,Very Low Concern,0.26,,,,,,,,,,,,,,,,,,
0.2,Low Concern,0.226,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.336,,,,,,,,,,,,,,,,,,
0.19,Very Low Concern,0.259,,,,,,,,,,,,,,,,,,
0.05,Very Low Concern,0.265,,,,,,,,,,,,,,,,,,
0.29,Low Concern,0.252,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.294,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.316,,,,,,,,,,,,,,,,,,
0.5,Moderate Concern,0.217,,,,,,,,,,,,,,,,,,
0.19,Very Low Concern,0.215,,,,,,,,,,,,,,,,,,
0.38,Low Concern,0.251,,,,,,,,,,,,,,,,,,
0.51,Moderate Concern,0.244,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.21600000000000005,,,,,,,,,,,,,,,,,,
0.21,Low Concern,0.267,,,,,,,,,,,,,,,,,,
0.16,Very Low Concern,0.271,,,,,,,,,,,,,,,,,,
0.35,Low Concern,0.21,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.218,,,,,,,,,,,,,,,,,,
0.16,Very Low Concern,0.229,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,0.189,,,,,,,,,,,,,,,,,,
0.3,Low Concern,0.208,,,,,,,,,,,,,,,,,,
0.26,Low Concern,0.255,,,,,,,,,,,,,,,,,,
0.77,High Concern,0.426,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.195,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.251,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.221,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.28800000000000003,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.21600000000000005,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.26,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.257,,,,,,,,,,,,,,,,,,
0.08,Very Low Concern,0.157,,,,,,,,,,,,,,,,,,
0.09,Very Low Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
0.17,Very Low Concern,0.16399999999999998,,,,,,,,,,,,,,,,,,
0.16,Very Low Concern,0.223,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.21,,,,,,,,,,,,,,,,,,
0.31,Low Concern,0.289,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.253,,,,,,,,,,,,,,,,,,
0.35,Low Concern,0.14300000000000002,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.155,,,,,,,,,,,,,,,,,,
0.23,Low Concern,0.266,,,,,,,,,,,,,,,,,,
0.43,Moderate Concern,0.274,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,0.231,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.198,,,,,,,,,,,,,,,,,,
0.2,Low Concern,0.141,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.294,,,,,,,,,,,,,,,,,,
0.38,Low Concern,0.269,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,0.276,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.177,,,,,,,,,,,,,,,,,,
0.11,Very Low Concern,0.27,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.203,,,,,,,,,,,,,,,,,,
0.02,Very Low Concern,0.263,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.211,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.211,,,,,,,,,,,,,,,,,,
0.16,Very Low Concern,0.219,,,,,,,,,,,,,,,,,,
0.15,Very Low Concern,0.231,,,,,,,,,,,,,,,,,,
0.25,Low Concern,0.192,,,,,,,,,,,,,,,,,,
0.4,Low Concern,0.222,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.128,,,,,,,,,,,,,,,,,,
0.5,Moderate Concern,0.221,,,,,,,,,,,,,,,,,,
0.2,Low Concern,0.188,,,,,,,,,,,,,,,,,,
0.03,Very Low Concern,0.16899999999999998,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.35100000000000003,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.208,,,,,,,,,,,,,,,,,,
0.12,Very Low Concern,0.303,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.247,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.265,,,,,,,,,,,,,,,,,,
0.08,Very Low Concern,0.173,,,,,,,,,,,,,,,,,,
0.3,Low Concern,0.209,,,,,,,,,,,,,,,,,,
0.34,Low Concern,0.202,,,,,,,,,,,,,,,,,,
0.07,Very Low Concern,0.256,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.16899999999999998,,,,,,,,,,,,,,,,,,
0.09,Very Low Concern,0.278,,,,,,,,,,,,,,,,,,
0.03,Very Low Concern,0.182,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.228,,,,,,,,,,,,,,,,,,
0.11,Very Low Concern,0.305,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.206,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.264,,,,,,,,,,,,,,,,,,
0.35,Low Concern,0.21600000000000005,,,,,,,,,,,,,,,,,,
,,,Alabama,Autauga County,55869.0,27092.0,28777.0,14252.0,21652.0,11041.0,8924.0,0.0283,0.0025,0.0103,0.19,0.0001,0.746,0.6548,32.756889,-86.844516
,,,Alabama,Baldwin County,223234.0,108247.0,114987.0,52268.0,77402.0,46734.0,46830.0,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,0.6709999999999999,32.756889,-86.844516
,,,Alabama,Barbour County,24686.0,13064.0,11622.0,5595.0,9477.0,4753.0,4861.0,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,0.34630000000000005,32.756889,-86.844516
,,,Alabama,Bibb County,22394.0,11929.0,10465.0,4992.0,9233.0,4436.0,3733.0,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,0.6354,32.756889,-86.844516
,,,Alabama,Blount County,57826.0,28472.0,29354.0,14522.0,21002.0,11488.0,10814.0,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,0.7923,32.756889,-86.844516
,,,Alabama,Bullock County,10101.0,5508.0,4593.0,2315.0,4087.0,1988.0,1711.0,0.0256,0.0,0.0049,0.748,0.0,0.2138,0.04349999999999998,32.756889,-86.844516
,,,Alabama,Butler County,19448.0,9024.0,10424.0,4692.0,6853.0,3854.0,4049.0,0.013999999999999999,0.0006,0.0035,0.4503,0.0,0.516,0.4046000000000001,32.756889,-86.844516
,,,Alabama,Calhoun County,113605.0,54481.0,59124.0,27548.0,42578.0,22932.0,20547.0,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,0.5716,32.756889,-86.844516
,,,Alabama,Chambers County,33254.0,15895.0,17359.0,7592.0,11906.0,7041.0,6715.0,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,0.4491000000000001,32.756889,-86.844516
,,,Alabama,Cherokee County,26196.0,12926.0,13270.0,5499.0,8531.0,6002.0,6164.0,0.0159,0.0108,0.0025,0.046,0.0,0.9172,0.7727999999999999,32.756889,-86.844516
,,,Alabama,Chilton County,44428.0,21800.0,22628.0,11572.0,16423.0,8833.0,7600.0,0.0785,0.0009,0.0044,0.0917,0.0,0.8013,0.7295,32.756889,-86.844516
,,,Alabama,Choctaw County,12589.0,5938.0,6651.0,2738.0,4061.0,2821.0,2969.0,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,0.35050000000000003,32.756889,-86.844516
,,,Alabama,Clarke County,23622.0,11153.0,12469.0,5584.0,8245.0,4950.0,4843.0,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.3206,32.756889,-86.844516
,,,Alabama,Clay County,13235.0,6447.0,6788.0,2956.0,4578.0,2916.0,2785.0,0.0314,0.0,0.0016,0.1551,0.0,0.8036,0.6739,32.756889,-86.844516
,,,Alabama,Cleburne County,14910.0,7340.0,7570.0,3672.0,5234.0,2996.0,3008.0,0.0246,0.0009,0.0002,0.0275,0.0,0.9269,0.8138,32.756889,-86.844516
,,,Alabama,Coffee County,52342.0,25742.0,26600.0,13572.0,19848.0,9891.0,9031.0,0.0728,0.0116,0.0144,0.168,0.0,0.7015,0.6002,32.756889,-86.844516
,,,Alabama,Colbert County,55241.0,26408.0,28833.0,12686.0,20106.0,11384.0,11065.0,0.0284,0.0058,0.0047,0.1608,0.0009,0.782,0.6314,32.756889,-86.844516
,,,Alabama,Conecuh County,12067.0,5758.0,6309.0,2728.0,3906.0,2601.0,2832.0,0.0068,0.002,0.0045,0.4776,0.0,0.5005,0.3391,32.756889,-86.844516
,,,Alabama,Coosa County,10663.0,5335.0,5328.0,1922.0,3487.0,2686.0,2568.0,0.0101,0.0007,0.0,0.3361,0.0,0.648,0.4981,32.756889,-86.844516
,,,Alabama,Covington County,37049.0,17927.0,19122.0,8871.0,12497.0,7761.0,7920.0,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,0.7149,32.756889,-86.844516
,,,Alabama,Crenshaw County,13772.0,6685.0,7087.0,3426.0,4818.0,2857.0,2671.0,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098,0.6169,32.756889,-86.844516
,,,Alabama,Cullman County,83768.0,41408.0,42360.0,20604.0,30670.0,16759.0,15735.0,0.0436,0.0028,0.0038,0.0125,0.0,0.9188,0.7633,32.756889,-86.844516
,,,Alabama,Dale County,49172.0,24214.0,24958.0,12321.0,19042.0,9307.0,8502.0,0.0651,0.0057,0.0122,0.1978,0.0001,0.6857,0.5091,32.756889,-86.844516
,,,Alabama,Dallas County,37196.0,17178.0,20018.0,9693.0,12742.0,7740.0,7021.0,0.0107,0.0009,0.0057,0.7043,0.0001,0.2732,0.09329999999999994,32.756889,-86.844516
,,,Alabama,DeKalb County,71513.0,35577.0,35936.0,18843.0,26127.0,13942.0,12601.0,0.1455,0.0107,0.0012,0.0143,0.0021,0.8044,0.7242000000000001,32.756889,-86.844516
,,,Alabama,Elmore County,81209.0,39236.0,41973.0,19990.0,32288.0,16274.0,12657.0,0.0296,0.0026,0.0054,0.2123,0.0,0.7316,0.6241,32.756889,-86.844516
,,,Alabama,Escambia County,36633.0,18425.0,18208.0,8989.0,13918.0,7035.0,6691.0,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,0.4808000000000001,32.756889,-86.844516
,,,Alabama,Etowah County,102268.0,49496.0,52772.0,24105.0,37700.0,20667.0,19796.0,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786,0.6605,32.756889,-86.844516
,,,Alabama,Fayette County,16302.0,7937.0,8365.0,3767.0,5637.0,3353.0,3545.0,0.018000000000000002,0.0,0.0047,0.1117,0.0004,0.845,0.7312000000000001,32.756889,-86.844516
,,,Alabama,Franklin County,31362.0,15782.0,15580.0,8488.0,11619.0,5881.0,5374.0,0.1716,0.0028,0.0037,0.0429,0.0,0.7685,0.606,32.756889,-86.844516
,,,Alabama,Geneva County,26271.0,12827.0,13444.0,6332.0,8944.0,5575.0,5420.0,0.0398,0.0089,0.0044,0.0941,0.0005,0.8385,0.7083,32.756889,-86.844516
,,,Alabama,Greene County,8111.0,3829.0,4282.0,1927.0,2629.0,1665.0,1890.0,0.0174,0.0044,0.0,0.7946,0.0,0.1724,0.036600000000000084,32.756889,-86.844516
,,,Alabama,Hale County,14651.0,6950.0,7701.0,3715.0,5050.0,3001.0,2885.0,0.0003,0.002,0.0022,0.5937,0.0,0.3953,0.17179999999999995,32.756889,-86.844516
,,,Alabama,Henry County,17205.0,8309.0,8896.0,3843.0,5843.0,3488.0,4031.0,0.0262,0.0018,0.004,0.2655,0.001,0.6917,0.5155,32.756889,-86.844516
,,,Alabama,Houston County,105882.0,50628.0,55254.0,26620.0,39405.0,20673.0,19184.0,0.0332,0.0025,0.0087,0.2676,0.0004,0.6646,0.5105999999999999,32.756889,-86.844516
,,,Alabama,Jackson County,51626.0,25367.0,26259.0,11775.0,18233.0,11027.0,10591.0,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925,0.7277,32.756889,-86.844516
,,,Alabama,Jefferson County,658573.0,311232.0,347341.0,166418.0,260901.0,123925.0,107329.0,0.0387,0.0016,0.0157,0.428,0.0003,0.4989,0.3387,32.756889,-86.844516
,,,Alabama,Lamar County,13805.0,6760.0,7045.0,3223.0,4657.0,2865.0,3060.0,0.0165,0.0002,0.0012,0.1065,0.0,0.8599,0.6806,32.756889,-86.844516
,,,Alabama,Lauderdale County,92729.0,44490.0,48239.0,20897.0,34329.0,18496.0,19007.0,0.0268,0.0039,0.0064,0.1014,0.0007,0.8472,0.6868000000000001,32.756889,-86.844516
,,,Alabama,Lawrence County,32924.0,16034.0,16890.0,7783.0,11573.0,7281.0,6287.0,0.0219,0.055999999999999994,0.002,0.1058,0.0008,0.7649,0.6475,32.756889,-86.844516
,,,Alabama,Lee County,164542.0,80840.0,83702.0,42352.0,74264.0,27514.0,20412.0,0.0368,0.0018,0.0411,0.2273,0.0,0.6744,0.52,32.756889,-86.844516
,,,Alabama,Limestone County,98915.0,49444.0,49471.0,24290.0,38859.0,20685.0,15081.0,0.0602,0.0068,0.0137,0.136,0.0006,0.7654,0.6467,32.756889,-86.844516
,,,Alabama,Lowndes County,9726.0,4570.0,5156.0,2355.0,3311.0,2139.0,1921.0,0.005,0.0013,0.0,0.7436,0.0,0.2466,0.1351,32.756889,-86.844516
,,,Alabama,Macon County,18068.0,8218.0,9850.0,4102.0,6691.0,3490.0,3785.0,0.0081,0.0009,0.0017,0.8254,0.0,0.1585,-0.0181,32.756889,-86.844516
,,,Alabama,Madison County,372909.0,182366.0,190543.0,91034.0,146568.0,78171.0,57136.0,0.0495,0.0056,0.0262,0.2405,0.0008,0.6468,0.4974,32.756889,-86.844516
,,,Alabama,Marengo County,18863.0,8839.0,10024.0,4679.0,6629.0,3806.0,3749.0,0.0101,0.0011,0.0,0.5356,0.0,0.4488,0.2562,32.756889,-86.844516
,,,Alabama,Marion County,29709.0,14626.0,15083.0,6801.0,10298.0,6221.0,6389.0,0.026000000000000002,0.0047,0.0018,0.0343,0.0,0.9185,0.7892,32.756889,-86.844516
,,,Alabama,Marshall County,96774.0,47717.0,49057.0,26498.0,34882.0,18644.0,16750.0,0.1397,0.0036,0.006,0.0267,0.0005,0.8075,0.6795,32.756889,-86.844516
,,,Alabama,Mobile County,413210.0,196374.0,216836.0,106527.0,158361.0,79580.0,68742.0,0.028999999999999998,0.0076,0.0189,0.3554,0.0001,0.5689,0.411,32.756889,-86.844516
,,,Alabama,Monroe County,20733.0,9869.0,10864.0,4866.0,7050.0,4432.0,4385.0,0.0038,0.0175,0.0027,0.4236,0.0003,0.5427,0.3861,32.756889,-86.844516
,,,Alabama,Montgomery County,226486.0,106394.0,120092.0,59380.0,90332.0,41493.0,35281.0,0.0352,0.0014,0.027999999999999997,0.5779,0.0002,0.33899999999999997,0.19330000000000006,32.756889,-86.844516
,,,Alabama,Morgan County,119679.0,58888.0,60791.0,29904.0,43591.0,24843.0,21341.0,0.0836,0.0047,0.0064,0.1269,0.0006,0.7563,0.6228,32.756889,-86.844516
,,,Alabama,Perry County,8923.0,4152.0,4771.0,2371.0,3119.0,1638.0,1795.0,0.0118,0.0003,0.0009,0.6931,0.0,0.2934,0.09189999999999987,32.756889,-86.844516
,,,Alabama,Pickens County,19930.0,10014.0,9916.0,4333.0,7554.0,4157.0,3886.0,0.0487,0.0014,0.0006,0.3984,0.0006,0.5365,0.4013,32.756889,-86.844516
,,,Alabama,Pike County,33114.0,15919.0,17195.0,8173.0,14506.0,5404.0,5031.0,0.0225,0.0056,0.022000000000000002,0.3658,0.0001,0.5602,0.4410000000000001,32.756889,-86.844516
,,,Alabama,Randolph County,22722.0,11078.0,11644.0,5419.0,7607.0,4955.0,4741.0,0.0295,0.0017,0.0021,0.1967,0.0,0.7529,0.622,32.756889,-86.844516
,,,Alabama,Russell County,57961.0,27767.0,30194.0,15282.0,22918.0,11172.0,8589.0,0.0549,0.0026,0.0087,0.4341,0.0004,0.4607,0.3953000000000001,32.756889,-86.844516
,,,Alabama,St. Clair County,89512.0,44352.0,45160.0,21939.0,34105.0,18385.0,15083.0,0.0242,0.0035,0.008,0.0957,0.0001,0.8587,0.7665,32.756889,-86.844516
,,,Alabama,Shelby County,217702.0,105203.0,112499.0,55803.0,84219.0,42956.0,34724.0,0.0572,0.0026,0.0206,0.1202,0.0002,0.7787,0.7072,32.756889,-86.844516
,,,Alabama,Sumter County,12427.0,5684.0,6743.0,2978.0,4820.0,2304.0,2325.0,0.0053,0.0007,0.0214,0.7192,0.0,0.2481,0.08340000000000003,32.756889,-86.844516
,,,Alabama,Talladega County,79978.0,38479.0,41499.0,18692.0,30002.0,16515.0,14769.0,0.0229,0.0043,0.0061,0.3237,0.0003,0.6263,0.5097,32.756889,-86.844516
,,,Alabama,Tallapoosa County,40367.0,19562.0,20805.0,9038.0,13338.0,9004.0,8987.0,0.0242,0.0022,0.0036,0.2697,0.0,0.6887,0.5393,32.756889,-86.844516
,,,Alabama,Tuscaloosa County,209355.0,100780.0,108575.0,53864.0,91724.0,34978.0,28789.0,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.4768000000000001,32.756889,-86.844516
,,,Alabama,Walker County,63521.0,30982.0,32539.0,15450.0,22491.0,13171.0,12409.0,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.7490000000000001,32.756889,-86.844516
,,,Alabama,Washington County,16326.0,8001.0,8325.0,3969.0,5626.0,3512.0,3219.0,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.4824,32.756889,-86.844516
,,,Alabama,Wilcox County,10373.0,4922.0,5451.0,2729.0,3542.0,1997.0,2105.0,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.07169999999999999,32.756889,-86.844516
,,,Alabama,Winston County,23629.0,11627.0,12002.0,5275.0,7940.0,5247.0,5167.0,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.8707,32.756889,-86.844516
,,,Alaska,Aleutians East Borough,3337.0,2253.0,1084.0,284.0,1830.0,872.0,351.0,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.017100000000000004,63.631126,-151.631889
,,,Alaska,Aleutians West Census Area,5634.0,3716.0,1918.0,732.0,2958.0,1525.0,419.0,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.1423000000000001,63.631126,-151.631889
,,,Alaska,Anchorage Municipality,288000.0,146468.0,141532.0,75780.0,126753.0,51710.0,33757.0,0.0917,0.0737,0.0943,0.0528,0.0241,0.579,0.3634000000000001,63.631126,-151.631889
,,,Alaska,Bethel Census Area,18386.0,9485.0,8901.0,7113.0,7030.0,2795.0,1448.0,0.026000000000000002,0.825,0.0108,0.0074,0.0022,0.0973,-0.3744000000000001,63.631126,-151.631889
,,,Alaska,Bristol Bay Borough,836.0,438.0,398.0,168.0,330.0,202.0,136.0,0.0366,0.3417,0.0023,0.0057,0.0023,0.5086,0.14839999999999998,63.631126,-151.631889
,,,Alaska,Denali Borough,2097.0,1173.0,924.0,436.0,946.0,477.0,238.0,0.0031,0.0218,0.0258,0.0116,0.0,0.8424,0.7537,63.631126,-151.631889
,,,Alaska,Dillingham Census Area,4916.0,2493.0,2423.0,1677.0,1848.0,897.0,494.0,0.0371,0.7091,0.0135,0.0159,0.0006,0.154,-0.1572,63.631126,-151.631889
,,,Alaska,Fairbanks North Star Borough,96849.0,52095.0,44754.0,25353.0,45292.0,15376.0,10828.0,0.0805,0.0727,0.0309,0.0428,0.0051,0.6993,0.565,63.631126,-151.631889
,,,Alaska,Haines Borough,2530.0,1261.0,1269.0,498.0,809.0,675.0,548.0,0.0449,0.087,0.0131,0.0,0.0016,0.7752,0.3323999999999999,63.631126,-151.631889
,,,Alaska,Hoonah-Angoon Census Area,2148.0,1143.0,1005.0,418.0,643.0,571.0,516.0,0.0683,0.3595,0.0159,0.0304,0.0,0.4381,0.03289999999999993,63.631126,-151.631889
,,,Alaska,Juneau City and Borough,31974.0,16263.0,15711.0,7508.0,13277.0,6728.0,4461.0,0.0678,0.1026,0.0645,0.0098,0.0099,0.6468,0.4483999999999999,63.631126,-151.631889
,,,Alaska,Kenai Peninsula Borough,58708.0,30623.0,28085.0,14362.0,20963.0,12608.0,10775.0,0.0415,0.0772,0.0157,0.0054,0.0033,0.7992,0.6069,63.631126,-151.631889
,,,Alaska,Ketchikan Gateway Borough,13901.0,7108.0,6793.0,3310.0,5336.0,2964.0,2291.0,0.0527,0.1343,0.0798,0.0075,0.002,0.6396,0.4157000000000001,63.631126,-151.631889
,,,Alaska,Kodiak Island Borough,12998.0,6898.0,6100.0,3536.0,5560.0,2426.0,1476.0,0.0891,0.1197,0.2269,0.0021,0.0033,0.4903,0.18990000000000007,63.631126,-151.631889
,,,Alaska,Kusilvak Census Area,8314.0,4378.0,3936.0,3706.0,2988.0,1114.0,506.0,0.0113,0.919,0.0013,0.001,0.0006,0.0358,0.06679999999999997,63.631126,-151.631889
,,,Alaska,Lake and Peninsula Borough,1592.0,813.0,779.0,495.0,608.0,306.0,183.0,0.0014,0.6978,0.0165,0.0115,0.0036,0.2096,-0.16080000000000005,63.631126,-151.631889
,,,Alaska,Matanuska-Susitna Borough,108317.0,56208.0,52109.0,31101.0,42857.0,20604.0,13755.0,0.0493,0.0604,0.0137,0.0115,0.0022,0.7922,0.6799,63.631126,-151.631889
,,,Alaska,Nome Census Area,10004.0,5267.0,4737.0,3736.0,3925.0,1540.0,803.0,0.0274,0.7435,0.0153,0.0083,0.0014,0.1466,-0.41790000000000016,63.631126,-151.631889
,,,Alaska,North Slope Borough,9832.0,6131.0,3701.0,2841.0,4053.0,2202.0,736.0,0.0203,0.5083,0.0538,0.0144,0.0186,0.3091,0.12260000000000015,63.631126,-151.631889
