Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.4,Moderate Concern,0.55,,,,,,,,,,,,,,,,,,
0.17,Very Low Concern,0.603,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.192,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.318,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.408,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.581,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.537,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.515,,,,,,,,,,,,,,,,,,
0.91,Very High Concern,0.199,,,,,,,,,,,,,,,,,,
0.71,High Concern,0.391,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.35100000000000003,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.279,,,,,,,,,,,,,,,,,,
0.62,High Concern,0.329,,,,,,,,,,,,,,,,,,
0.92,Very High Concern,0.206,,,,,,,,,,,,,,,,,,
0.64,High Concern,0.199,,,,,,,,,,,,,,,,,,
0.86,Very High Concern,0.116,,,,,,,,,,,,,,,,,,
1.0,Very High Concern,0.368,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.238,,,,,,,,,,,,,,,,,,
0.86,Very High Concern,0.18600000000000005,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.295,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.218,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.174,,,,,,,,,,,,,,,,,,
0.78,High Concern,0.196,,,,,,,,,,,,,,,,,,
0.86,Very High Concern,0.152,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.168,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.134,,,,,,,,,,,,,,,,,,
0.44,Moderate Concern,0.151,,,,,,,,,,,,,,,,,,
0.98,Very High Concern,0.181,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.12,,,,,,,,,,,,,,,,,,
0.6,Moderate Concern,0.16899999999999998,,,,,,,,,,,,,,,,,,
1.0,Very High Concern,0.18,,,,,,,,,,,,,,,,,,
0.79,High Concern,0.192,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.2,,,,,,,,,,,,,,,,,,
0.21,Low Concern,0.162,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.212,,,,,,,,,,,,,,,,,,
