FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
01093,0.0,0.0,4.0,4.0,3.0,3.0,16.0,7.0,6.0,7.0,10.0,6.0,2.0,4.0,1.0,0.0
01095,0.0,0.0,5.0,17.0,3.0,25.0,20.0,10.0,12.0,11.0,12.0,6.0,4.0,7.0,1.0,0.0
01097,0.0,0.0,49.0,135.0,63.0,74.0,175.0,117.0,49.0,61.0,100.0,158.0,179.0,83.0,41.0,10.0
01099,0.0,0.0,0.0,0.0,3.0,8.0,3.0,5.0,3.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0
01101,0.0,0.0,28.0,70.0,138.0,124.0,60.0,49.0,28.0,35.0,17.0,20.0,32.0,41.0,24.0,17.0
01103,0.0,0.0,3.0,2.0,8.0,18.0,29.0,7.0,18.0,20.0,20.0,12.0,13.0,15.0,3.0,3.0
01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01109,0.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,0.0,4.0,2.0,0.0
01111,0.0,0.0,7.0,5.0,8.0,5.0,3.0,5.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,1.0
01113,0.0,0.0,2.0,6.0,4.0,10.0,8.0,5.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,0.0
01115,0.0,0.0,6.0,2.0,3.0,13.0,51.0,38.0,11.0,17.0,14.0,15.0,15.0,13.0,15.0,2.0
01117,0.0,0.0,13.0,43.0,8.0,18.0,20.0,25.0,25.0,27.0,5.0,16.0,19.0,23.0,10.0,14.0
01119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01121,0.0,0.0,8.0,6.0,4.0,6.0,25.0,28.0,13.0,9.0,17.0,9.0,17.0,18.0,8.0,4.0
01123,0.0,0.0,11.0,39.0,25.0,9.0,17.0,5.0,2.0,4.0,6.0,11.0,7.0,7.0,2.0,0.0
01125,0.0,0.0,16.0,18.0,56.0,45.0,64.0,58.0,39.0,30.0,14.0,46.0,21.0,11.0,19.0,5.0
01127,0.0,0.0,1.0,4.0,18.0,60.0,26.0,31.0,15.0,15.0,13.0,15.0,4.0,12.0,5.0,2.0
01129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01133,0.0,0.0,0.0,1.0,4.0,9.0,4.0,9.0,10.0,6.0,8.0,4.0,3.0,2.0,1.0,0.0
02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02020,0.0,0.0,12.0,7.0,8.0,15.0,52.0,58.0,48.0,120.0,194.0,139.0,40.0,22.0,47.0,17.0
02050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02090,0.0,0.0,8.0,1.0,0.0,4.0,9.0,8.0,6.0,11.0,16.0,22.0,16.0,11.0,11.0,7.0
02100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02110,0.0,0.0,5.0,2.0,0.0,0.0,2.0,6.0,5.0,15.0,4.0,2.0,3.0,0.0,1.0,0.0
02122,0.0,0.0,1.0,0.0,2.0,4.0,1.0,4.0,1.0,12.0,35.0,15.0,5.0,3.0,2.0,11.0
02130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02170,0.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,4.0,12.0,33.0,17.0,8.0,18.0,24.0,11.0
