FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,Total
01113,0.0,0.0,18.0,44.0,98.0,270.0,701.0,403.0,167.0,204.0,1905.0
01115,0.0,0.0,39.0,39.0,33.0,215.0,824.0,634.0,523.0,829.0,3136.0
01117,0.0,0.0,184.0,145.0,152.0,575.0,1849.0,1537.0,1512.0,1488.0,7442.0
01119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01121,0.0,0.0,27.0,45.0,29.0,146.0,688.0,700.0,421.0,594.0,2650.0
01123,0.0,0.0,44.0,252.0,125.0,99.0,226.0,170.0,121.0,203.0,1240.0
01125,0.0,0.0,71.0,160.0,429.0,985.0,1746.0,2050.0,2742.0,1717.0,9900.0
01127,0.0,0.0,72.0,30.0,264.0,439.0,492.0,462.0,415.0,571.0,2745.0
01129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01133,0.0,0.0,0.0,13.0,62.0,153.0,168.0,152.0,166.0,227.0,941.0
02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02020,0.0,0.0,117.0,76.0,66.0,279.0,1415.0,1183.0,1682.0,4583.0,9401.0
02050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02090,0.0,0.0,64.0,19.0,0.0,79.0,258.0,272.0,617.0,1127.0,2436.0
02100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02110,0.0,0.0,15.0,15.0,0.0,11.0,41.0,94.0,119.0,272.0,567.0
02122,0.0,0.0,15.0,0.0,46.0,98.0,149.0,114.0,52.0,588.0,1062.0
02130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02170,0.0,0.0,0.0,14.0,13.0,77.0,201.0,180.0,180.0,1228.0,1893.0
02180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04001,0.0,0.0,13.0,497.0,1101.0,851.0,725.0,242.0,234.0,478.0,4141.0
04003,0.0,0.0,11.0,34.0,91.0,682.0,782.0,265.0,108.0,434.0,2407.0
04005,0.0,0.0,154.0,393.0,631.0,860.0,975.0,393.0,976.0,1310.0,5692.0
04007,0.0,0.0,0.0,15.0,39.0,370.0,477.0,293.0,326.0,662.0,2182.0
04009,0.0,0.0,0.0,17.0,15.0,100.0,335.0,213.0,162.0,421.0,1263.0
04011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04013,66.0,26.0,1600.0,3648.0,7852.0,47400.0,61253.0,13476.0,8631.0,19946.0,163898.0
04015,0.0,0.0,25.0,133.0,341.0,1079.0,1686.0,583.0,271.0,619.0,4737.0
04017,0.0,0.0,190.0,574.0,1189.0,1822.0,1511.0,384.0,278.0,831.0,6779.0
04019,39.0,0.0,408.0,1108.0,1647.0,6567.0,8945.0,3567.0,3954.0,3816.0,30051.0
04021,39.0,11.0,133.0,379.0,557.0,3410.0,3990.0,1783.0,772.0,2202.0,13276.0
04023,0.0,0.0,0.0,36.0,471.0,1581.0,570.0,125.0,91.0,254.0,3128.0
04025,0.0,0.0,84.0,84.0,163.0,643.0,970.0,469.0,327.0,582.0,3322.0
04027,0.0,0.0,22.0,142.0,1570.0,5494.0,4097.0,969.0,582.0,1522.0,14398.0
05001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05005,0.0,0.0,0.0,0.0,0.0,12.0,39.0,82.0,206.0,339.0,678.0
05007,0.0,0.0,58.0,60.0,724.0,2371.0,1377.0,786.0,1037.0,1362.0,7775.0
05009,0.0,0.0,0.0,0.0,0.0,18.0,156.0,190.0,339.0,276.0,979.0
05011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05015,0.0,0.0,0.0,0.0,32.0,156.0,130.0,141.0,260.0,258.0,977.0
05017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05019,0.0,0.0,27.0,0.0,0.0,17.0,111.0,72.0,108.0,101.0,436.0
05021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05023,0.0,0.0,59.0,0.0,0.0,45.0,57.0,59.0,98.0,97.0,415.0
05025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05027,0.0,0.0,0.0,11.0,12.0,47.0,136.0,102.0,175.0,133.0,616.0
05029,0.0,0.0,0.0,11.0,0.0,70.0,50.0,62.0,59.0,69.0,321.0
05031,0.0,0.0,24.0,58.0,200.0,234.0,736.0,724.0,1127.0,1605.0,4708.0
05033,0.0,0.0,0.0,0.0,33.0,179.0,333.0,415.0,550.0,554.0,2064.0
05035,0.0,0.0,56.0,140.0,273.0,318.0,480.0,346.0,273.0,517.0,2403.0
05037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
