,Patients,Hospitalized,ICU,Death
05065,0.0,0.0,0.0,0.0
05067,0.0,0.0,0.0,0.0
05069,3241.0,343.0,125.0,0.0
05071,826.0,55.0,17.0,0.0
05073,0.0,0.0,0.0,0.0
05075,0.0,0.0,0.0,0.0
05077,0.0,0.0,0.0,0.0
05079,0.0,0.0,0.0,0.0
05081,0.0,0.0,0.0,0.0
05083,428.0,34.0,4.0,0.0
05085,1121.0,103.0,37.0,0.0
05087,0.0,0.0,0.0,0.0
05089,0.0,0.0,0.0,0.0
05091,762.0,71.0,26.0,0.0
05093,1652.0,173.0,68.0,0.0
05095,0.0,0.0,0.0,0.0
05097,0.0,0.0,0.0,0.0
05099,0.0,0.0,0.0,0.0
05101,0.0,0.0,0.0,0.0
05103,260.0,17.0,5.0,0.0
05105,0.0,0.0,0.0,0.0
05107,0.0,0.0,0.0,0.0
05109,0.0,0.0,0.0,0.0
05111,664.0,66.0,20.0,0.0
05113,0.0,0.0,0.0,0.0
05115,2121.0,154.0,56.0,0.0
05117,0.0,0.0,0.0,0.0
05119,9214.0,972.0,290.0,79.0
05121,0.0,0.0,0.0,0.0
05123,1504.0,75.0,39.0,0.0
05125,2103.0,174.0,47.0,0.0
05127,0.0,0.0,0.0,0.0
05129,0.0,0.0,0.0,0.0
05131,3911.0,227.0,63.0,59.0
05133,0.0,0.0,0.0,0.0
05135,0.0,0.0,0.0,0.0
05137,0.0,0.0,0.0,0.0
05139,945.0,70.0,44.0,0.0
05141,0.0,0.0,0.0,0.0
05143,8990.0,464.0,192.0,24.0
05145,815.0,66.0,10.0,17.0
05147,0.0,0.0,0.0,0.0
05149,1158.0,86.0,30.0,0.0
06001,21099.0,1571.0,220.0,68.0
06003,0.0,0.0,0.0,0.0
06005,290.0,20.0,7.0,0.0
06007,2916.0,153.0,34.0,11.0
06009,287.0,16.0,0.0,0.0
06011,528.0,27.0,3.0,0.0
06013,17441.0,1364.0,221.0,29.0
06015,133.0,2.0,1.0,0.0
06017,1228.0,59.0,21.0,0.0
06019,30823.0,1577.0,202.0,226.0
06021,597.0,41.0,11.0,0.0
06023,497.0,28.0,9.0,0.0
06025,11924.0,1131.0,165.0,221.0
06027,0.0,0.0,0.0,0.0
06029,32040.0,2284.0,451.0,137.0
06031,7959.0,329.0,47.0,0.0
06033,561.0,35.0,12.0,0.0
06035,732.0,1.0,0.0,0.0
06037,258618.0,30133.0,6281.0,6266.0
06039,4637.0,261.0,48.0,12.0
06041,6797.0,193.0,22.0,39.0
06043,0.0,0.0,0.0,0.0
06045,883.0,61.0,16.0,0.0
06047,9009.0,669.0,163.0,36.0
06049,0.0,0.0,0.0,0.0
06051,0.0,0.0,0.0,0.0
06053,10210.0,617.0,98.0,11.0
06055,1766.0,114.0,32.0,0.0
06057,532.0,35.0,6.0,0.0
06059,55732.0,4234.0,941.0,1149.0
06061,3682.0,253.0,46.0,0.0
06063,0.0,0.0,0.0,0.0
06065,60757.0,3002.0,568.0,956.0
06067,23369.0,1952.0,398.0,219.0
06069,1328.0,73.0,17.0,0.0
06071,55959.0,3628.0,553.0,805.0
06073,49064.0,3695.0,852.0,473.0
06075,11500.0,662.0,144.0,0.0
06077,20513.0,1645.0,424.0,251.0
06079,3719.0,208.0,39.0,0.0
06081,10295.0,212.0,62.0,56.0
06083,9557.0,544.0,93.0,0.0
06085,22389.0,1955.0,426.0,90.0
06087,2482.0,174.0,30.0,0.0
06089,1308.0,69.0,15.0,0.0
06091,0.0,0.0,0.0,0.0
06093,143.0,8.0,4.0,0.0
06095,6532.0,451.0,115.0,0.0
06097,7971.0,402.0,85.0,51.0
06099,16755.0,1145.0,132.0,125.0
06101,1688.0,50.0,10.0,0.0
06103,633.0,26.0,15.0,0.0
06105,0.0,0.0,0.0,0.0
06107,16371.0,869.0,87.0,42.0
06109,228.0,15.0,3.0,0.0
06111,13377.0,1054.0,240.0,13.0
06113,2883.0,218.0,78.0,0.0
06115,1089.0,30.0,7.0,0.0
08001,8483.0,996.0,1.0,74.0
08003,0.0,0.0,0.0,0.0
08005,9202.0,1420.0,8.0,332.0
08007,0.0,0.0,0.0,0.0
08009,0.0,0.0,0.0,0.0
08011,0.0,0.0,0.0,0.0
08013,3064.0,222.0,3.0,42.0
08014,555.0,60.0,4.0,0.0
08015,282.0,7.0,0.0,0.0
08017,0.0,0.0,0.0,0.0
08019,0.0,0.0,0.0,0.0
08021,0.0,0.0,0.0,0.0
08023,0.0,0.0,0.0,0.0
08025,0.0,0.0,0.0,0.0
08027,0.0,0.0,0.0,0.0
08029,152.0,11.0,0.0,0.0
08031,11968.0,1683.0,111.0,236.0
08033,0.0,0.0,0.0,0.0
08035,2330.0,239.0,0.0,47.0
08037,1166.0,61.0,1.0,0.0
08039,104.0,15.0,0.0,0.0
